"WAR_YEAR","COUNTRY_GAINING","ISO3C_GAINING","COUNTRY_LOSING","ISO3C_LOSING","POP","AREA","CONSEQUENCE"
1821,"Colombia","COL","Spain","ESP",800000,1082207,"conquest"
1822,"Colombia","COL","Spain","ESP",600000,550685,"conquest"
1825,"Madagascar","MDG","France","FRA",,1,"conquest"
1826,"United Kingdom","GBR","Myanmar","MMR",1222998,169098,"conquest"
1830,"France","FRA","Turkey","TUR",73200,275317,"conquest"
1852,"United Kingdom","GBR","Myanmar","MMR",870180,83657,"conquest"
1868,"Russia","RUS","Tajikistan","TJK",2000000,156000,"conquest"
1873,"Russia","RUS","Kyrgyzstan","KGZ",110000,92463,"conquest"
1876,"Russia","RUS","Turkmenistan","TKM",,728000,"conquest"
1879,"Egypt","EGY","Ethiopia","ETH",325000,468000,"conquest"
1881,"France","FRA","Tunisia","TUN",2100000,116348,"conquest"
1882,"United Kingdom","GBR","Egypt","EGY",6806381,1021081,"conquest"
1883,"Chile","CHL","Peru","PER",20000,51480,"conquest"
1884,"Chile","CHL","Bolivia","BOL",14000,50215,"conquest"
1886,"United Kingdom","GBR","Myanmar","MMR",4000000,492000,"conquest"
1893,"France","FRA","Laos","LAO",600000,255000,"conquest"
1895,"Japan","JPN","China","CHN",2781272,35763,"conquest"
1896,"France","FRA","Madagascar","MDG",3500000,590000,"conquest"
1897,"Mexico","MEX","France","FRA",0,5,"conquest"
1898,"United Kingdom","GBR","Turkey","TUR",294190,8614,"conquest"
1899,"United Kingdom","GBR","Sudan","SDN",2000000,2505823,"conquest"
1900,"Russia","RUS","China","CHN",5530000,939280,"conquest"
1903,"France","FRA","Morocco","MAR",62000,499870,"conquest"
1907,"France","FRA","Morocco","MAR",,100,"conquest"
1912,"Italy","ITA","Turkey","TUR",100198,2681,"conquest"
1912,"Italy","ITA","Turkey","TUR",523176,1051539,"conquest"
1913,"Saudi Arabia","SAU","Turkey","TUR",,107120,"conquest"
1914,"Italy","ITA","Albania","ALB",,5,"conquest"
1920,"Russia","RUS","Armenia","ARM",1214391,31057,"conquest"
1920,"Russia","RUS","Azerbaijan","AZE",2096973,84984,"conquest"
1920,"Russia","RUS","Georgia","GEO",2372403,66976,"conquest"
1920,"Russia","RUS","Ukraine","UKR",,444595,"conquest"
1932,"Japan","JPN","China","CHN",32900000,1304292,"conquest"
1933,"Japan","JPN","China","CHN",2963027,173960,"conquest"
1935,"Paraguay","PRY","Bolivia","BOL",35000,233100,"conquest"
1936,"Italy","ITA","Ethiopia","ETH",7000000,906499,"conquest"
1937,"Japan","JPN","China","CHN",,1500000,"conquest"
1939,"Italy","ITA","Albania","ALB",1003124,28748,"conquest"
1940,"Russia","RUS","Estonia","EST",1126000,47549,"conquest"
1940,"Russia","RUS","Latvia","LVA",1950000,65773,"conquest"
1940,"Russia","RUS","Lithuania","LTU",2879070,59464,"conquest"
1947,"Russia","RUS","Romania","ROU",3500000,49987,"conquest"
1949,"Egypt","EGY","Israel","ISR",405000,258,"conquest"
1949,"India","IND","Pakistan","PAK",2700000,139860,"conquest"
1949,"Jordan","JOR","Israel","ISR",400000,5607,"conquest"
1949,"Pakistan","PAK","India","IND",1320000,32024,"conquest"
1961,"Benin","BEN","Portugal","PRT",12,2,"conquest"
1961,"India","IND","Portugal","PRT",649660,4193,"conquest"
1967,"Israel","ISR","Egypt","EGY",418800,53242,"conquest"
1967,"Israel","ISR","Jordan","JOR",674500,5878,"conquest"
1967,"Israel","ISR","Syria","SYR",60000,1710,"conquest"
1971,"India","IND","Pakistan","PAK",5000000,13361,"conquest"
1971,"Iran","IRN","United Arab Emirates","ARE",100,1,"conquest"
1971,"Pakistan","PAK","India","IND",75600,315,"conquest"
1973,"Israel","ISR","Syria","SYR",15000,780,"conquest"
1973,"Libya","LBY","Chad","TCD",78000,78000,"conquest"
1974,"Turkey","TUR","Cyprus","CYP",250000,3640,"conquest"
1976,"Indonesia","IDN","Portugal","PRT",610541,14984,"conquest"
2000,"Egypt","EGY","Sudan","SDN",5000,20580,"conquest"
2014,"Russia","RUS","Ukraine","UKR",2400000,27000,"conquest"
