"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1947,"Russia","Romania",3500000,49987,"conquest"
1949,"Egypt","Israel",405000,258,"conquest"
1949,"Jordan","Israel",400000,5607,"conquest"
1949,"India","Pakistan",2700000,139860,"conquest"
1949,"Pakistan","India",1320000,32024,"conquest"
1961,"Benin","Portugal",12,2,"conquest"
1961,"India","Portugal",649660,4193,"conquest"
1967,"Israel","Egypt",418800,53242,"conquest"
1967,"Israel","Syria",60000,1710,"conquest"
1967,"Israel","Jordan",674500,5878,"conquest"
1971,"Iran","United Arab Emirates",100,1,"conquest"
1971,"India","Pakistan",5000000,13361,"conquest"
1971,"Pakistan","India",75600,315,"conquest"
1973,"Libya","Chad",78000,78000,"conquest"
1973,"Israel","Syria",15000,780,"conquest"
1974,"Turkey","Cyprus",250000,3640,"conquest"
1976,"Indonesia","Portugal",610541,14984,"conquest"
2000,"Egypt","Sudan",5000,20580,"conquest"
2014,"Russia","Ukraine",2400000,27000,"conquest"
