"WAR_YEAR","COUNTRY_GAINING","ISO3C_GAINING","COUNTRY_LOSING","ISO3C_LOSING","POP","AREA","CONSEQUENCE"
1816,"Argentina","ARG","Spain","ESP",1970000,2093164,"unknown process"
1816,"United Kingdom","GBR","Nepal","NPL",,1,"cession"
1817,"France","FRA","United Kingdom","GBR",100000,7819,"cession"
1818,"Chile","CHL","Spain","ESP",1656300,464568,"unknown process"
1818,"United Kingdom","GBR","United States","USA",,41600,"cession"
1818,"United States","USA","United Kingdom","GBR",,84240,"cession"
1819,"Colombia","COL","Spain","ESP",1400000,660760,"unknown process"
1819,"France","FRA","Madagascar","MDG",,1,"annexation"
1819,"United States","USA","Spain","ESP",54477,186488,"cession"
1821,"Colombia","COL","Spain","ESP",800000,1082207,"conquest"
1821,"Dominican Republic","DOM","Spain","ESP",89000,48734,"unknown process"
1821,"Mexico","MEX","Spain","ESP",7000000,1426757,"unknown process"
1821,"Peru","PER","Spain","ESP",1929300,1559891,"unknown process"
1821,"Portugal","PRT","Spain","ESP",70000,269810,"cession"
1822,"Colombia","COL","Spain","ESP",600000,550685,"conquest"
1824,"Brazil","BRA","Portugal","PRT",5306418,8259504,"unknown process"
1824,"Netherlands","NLD","United Kingdom","GBR",93875,25089,"cession"
1824,"United Kingdom","GBR","Netherlands","NLD",77756,1658,"cession"
1825,"Bolivia","BOL","Spain","ESP",1750000,3016000,"unknown process"
1825,"Madagascar","MDG","France","FRA",,1,"conquest"
1825,"Tunisia","TUN","Turkey","TUR",875000,116348,"secession"
1826,"United Kingdom","GBR","Myanmar","MMR",1222998,169098,"conquest"
1828,"Greece","GRC","Turkey","TUR",637700,39510,"secession"
1828,"Russia","RUS","Iran","IRN",,29800,"cession"
1828,"Uruguay","URY","Brazil","BRA",70000,269810,"secession"
1829,"Russia","RUS","Turkey","TUR",,8580,"cession"
1829,"United Kingdom","GBR","Spain","ESP",2300,2034,"cession"
1830,"Belgium","BEL","Netherlands","NLD",3533538,27407,"secession"
1830,"France","FRA","Turkey","TUR",73200,275317,"conquest"
1832,"Colombia","COL","Ecuador","ECU",276249,140976,"cession"
1833,"United Kingdom","GBR","Argentina","ARG",20,11961,"annexation"
1839,"Belgium","BEL","Netherlands","NLD",171572,2416,"cession"
1839,"Belgium","BEL","Netherlands","NLD",176493,4408,"cession"
1839,"Peru","PER","Bolivia","BOL",1929300,1559891,"secession"
1842,"United Kingdom","GBR","China","CHN",33143,75,"cession"
1842,"United Kingdom","GBR","United States","USA",,12950,"cession"
1842,"United States","USA","United Kingdom","GBR",,18130,"cession"
1843,"Spain","ESP","United Kingdom","GBR",18000,2034,"cession"
1846,"United Kingdom","GBR","United States","USA",89000,429536,"cession"
1846,"United States","USA","United Kingdom","GBR",13323,739652,"cession"
1847,"United Kingdom","GBR","Brunei","BRN",1385,91,"cession"
1848,"United States","USA","Mexico","MEX",295574,1370153,"cession"
1850,"United Kingdom","GBR","Denmark","DNK",40000,40,"cession"
1851,"Brazil","BRA","Uruguay","URY",,104000,"cession"
1851,"Netherlands","NLD","Portugal","PRT",,1,"cession"
1852,"United Kingdom","GBR","Myanmar","MMR",870180,83657,"conquest"
1853,"United States","USA","Mexico","MEX",96000,76768,"cession"
1854,"United Kingdom","GBR","Oman","OMN",350000,73,"cession"
1855,"Egypt","EGY","Turkey","TUR",600000,1021081,"secession"
1856,"Turkey","TUR","Russia","RUS",,12264,"cession"
1856,"Turkey","TUR","Russia","RUS",,18557,"cession"
1858,"Russia","RUS","China","CHN",40000,282473,"cession"
1859,"Brazil","BRA","Venezuela","VEN",,156000,"cession"
1859,"Honduras","HND","United Kingdom","GBR",,33701,"cession"
1859,"Netherlands","NLD","Portugal","PRT",1057800,15850,"cession"
1859,"Portugal","PRT","Netherlands","NLD",850300,18989,"cession"
1860,"France","FRA","Italy","ITA",,14778,"cession"
1860,"Italy","ITA","Vatican City","VAT",3124668,41445,"unification"
1860,"Nicaragua","NIC","United Kingdom","GBR",,21367,"cession"
1860,"Russia","RUS","China","CHN",,234000,"cession"
1860,"Spain","ESP","Morocco","MAR",,1505,"annexation"
1860,"United Kingdom","GBR","China","CHN",,6,"cession"
1861,"France","FRA","Monaco","MCO",,2,"annexation"
1861,"Spain","ESP","Dominican Republic","DOM",200000,48734,"annexation"
