"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1992,"Yemen","Oman",0,1875,"cession"
1992,"Oman","Yemen",0,1250,"cession"
1992,"Bangladesh","India",20,1,"cession"
1993,"Eritrea","Ethiopia",3000000,124993,"secession"
1993,"Kuwait","Iraq",0,,"cession"
1994,"Namibia","South Africa",30000,1124,"cession"
1994,"Palau","United States",15600,487,"unknown process"
1995,"Jordan","Israel",0,340,"cession"
1996,"China","Russia",0,18,"cession"
1997,"Czechia","Slovakia",31,5,"cession"
1997,"Slovakia","Czechia",120,5,"cession"
1997,"China","United Kingdom",6700000,1084,"cession"
1998,"China","Kazakhstan",,470,"cession"
1998,"Ukraine","Moldova",0,1,"cession"
1998,"Moldova","Ukraine",0,1,"cession"
1999,"Russia","Estonia",0,30,"cession"
1999,"Estonia","Russia",0,30,"cession"
1999,"China","Portugal",447000,21,"cession"
2000,"Egypt","Sudan",5000,20580,"conquest"
2003,"Nigeria","Cameroon",,,"cession"
2003,"Cameroon","Nigeria",,,"cession"
2004,"Yemen","Saudi Arabia",,40000,"cession"
2008,"Cameroon","Nigeria",300000,665,"cession"
2008,"China","Russia",0,174,"cession"
2011,"China","Tajikistan",,1142,"cession"
2011,"South Sudan","Sudan",8260000,619745,"unknown process"
2014,"Russia","Ukraine",2400000,27000,"conquest"
2015,"India","Bangladesh",51000,69,"unknown process"
2015,"Bangladesh","India",51000,29,"unknown process"
1940,"Russia","Finland",450000,40000,"cession"
1954,"India","Portugal",57963,491,"annexation"
1999,"Botswana","Namibia",0,5,"cession"
1816,"Argentina","Spain",1970000,2093164,"unknown process"
1816,"United Kingdom","Nepal",,1,"cession"
1817,"France","United Kingdom",100000,7819,"cession"
1818,"United States","United Kingdom",,84240,"cession"
1818,"Chile","Spain",1656300,464568,"unknown process"
1818,"United Kingdom","United States",,41600,"cession"
1819,"United States","Spain",54477,186488,"cession"
1819,"Colombia","Spain",1400000,660760,"unknown process"
1819,"France","Madagascar",,1,"annexation"
1821,"Dominican Republic","Spain",89000,48734,"unknown process"
1821,"Mexico","Spain",7000000,1426757,"unknown process"
1821,"Colombia","Spain",800000,1082207,"conquest"
1821,"Peru","Spain",1929300,1559891,"unknown process"
1821,"Portugal","Spain",70000,269810,"cession"
1822,"Colombia","Spain",600000,550685,"conquest"
1824,"Brazil","Portugal",5306418,8259504,"unknown process"
1824,"United Kingdom","Netherlands",77756,1658,"cession"
1824,"Netherlands","United Kingdom",93875,25089,"cession"
1825,"Bolivia","Spain",1750000,3016000,"unknown process"
1825,"Madagascar","France",,1,"conquest"
1825,"Tunisia","Turkey",875000,116348,"secession"
1826,"United Kingdom","Myanmar",1222998,169098,"conquest"
1828,"Uruguay","Brazil",70000,269810,"secession"
1828,"Greece","Turkey",637700,39510,"secession"
1828,"Russia","Iran",,29800,"cession"
1829,"United Kingdom","Spain",2300,2034,"cession"
1829,"Russia","Turkey",,8580,"cession"
1830,"Belgium","Netherlands",3533538,27407,"secession"
1830,"France","Turkey",73200,275317,"conquest"
1832,"Colombia","Ecuador",276249,140976,"cession"
1833,"United Kingdom","Argentina",20,11961,"annexation"
1839,"Peru","Bolivia",1929300,1559891,"secession"
1839,"Belgium","Netherlands",171572,2416,"cession"
1839,"Belgium","Netherlands",176493,4408,"cession"
1842,"United States","United Kingdom",,18130,"cession"
1842,"United Kingdom","United States",,12950,"cession"
1842,"United Kingdom","China",33143,75,"cession"
1843,"Spain","United Kingdom",18000,2034,"cession"
1846,"United States","United Kingdom",13323,739652,"cession"
1846,"United Kingdom","United States",89000,429536,"cession"
1847,"United Kingdom","Brunei",1385,91,"cession"
1848,"United States","Mexico",295574,1370153,"cession"
