"WARNAME","STATENAME","ISO3C","STARTDATE","ENDDATE","TOTAL_WAR_TIME","TOTAL_BATTLE_DEATHS","LAT","LNG"
"Franco_Spanish War","France","FRA",07-APR-23,13-NOV-23,220,1000,42.6924,0.514845
"Franco_Spanish War","Spain","ESP",07-APR-23,13-NOV-23,220,1000,42.6924,0.514845
"First Russo_Turkish","Russia","RUS",26-APR-28,14-SEP-29,506,130000,45.4353,28.008
"First Russo_Turkish","Ottoman Empire","TUR",26-APR-28,14-SEP-29,506,130000,45.4353,28.008
"Mexican_American","United States of America","USA",25-APR-46,14-SEP-47,507,19283,31.4911,-99.358
"Mexican_American","Mexico","MEX",25-APR-46,14-SEP-47,507,19283,31.4911,-99.358
"Austro_Sardinian","Italy","ITA",24-MAR-48,09-AUG-48,138,7527,46.83,11.97
"First Schleswig_Holstein","Denmark","DNK",10-APR-48,26-AUG-48,138,6000,54.8973,8.98718
"First Schleswig_Holstein","Prussia","DEU",10-APR-48,26-AUG-48,138,6000,54.8973,8.98718
"Roman Republic","France","FRA",30-APR-49,02-JUL-49,63,2600,41.9028,12.4964
"Roman Republic","Papal States","VAT",30-APR-49,02-JUL-49,63,2600,41.9028,12.4964
"La Plata","Brazil","BRA",19-JUL-51,03-FEB-52,199,1300,-34.9011,-56.1645
"La Plata","Argentina","ARG",19-JUL-51,03-FEB-52,199,1300,-34.9011,-56.1645
"Crimean","France","FRA",31-MAR-54,01-MAR-56,701,264200,33.66,44.83
"Crimean","Italy","ITA",10-JAN-55,01-MAR-56,416,264200,33.66,44.83
"Crimean","United Kingdom","GBR",31-MAR-54,01-MAR-56,701,264200,33.66,44.83
"Crimean","Turkey","TUR",23-OCT-53,01-MAR-56,860,264200,33.66,44.83
"Crimean","Russia","RUS",23-OCT-53,01-MAR-56,860,264200,33.66,44.83
"Anglo_Persian","United Kingdom","GBR",25-OCT-56,05-APR-57,162,2000,35.6892,51.389
"Anglo_Persian","Iran","IRN",25-OCT-56,05-APR-57,162,2000,35.6892,51.389
"Italian Unification","France","FRA",03-MAY-59,12-JUL-59,70,22500,46.83,11.97
"Italian Unification","Sardinia/Piedmont","ITA",29-APR-59,12-JUL-59,74,22500,46.83,11.97
"First Spanish_Moroccan","Spain","ESP",22-OCT-59,25-MAR-60,155,10000,32.9735,-5.2002
"First Spanish_Moroccan","Morocco","MAR",22-OCT-59,25-MAR-60,155,10000,32.9735,-5.2002
"Italian_Roman","Sardinia/Piedmont","ITA",11-SEP-60,29-SEP-60,18,1000,45.47,8.88
"Italian_Roman","Papal States","VAT",11-SEP-60,29-SEP-60,18,1000,45.47,8.88
"Neapolitan","Sardinia/Piedmont","ITA",15-OCT-60,13-FEB-61,121,1000,37.77,12.45
"Franco_Mexican","Mexico","MEX",16-APR-62,05-FEB-67,1756,20000,19.1738,-96.1342
"Franco_Mexican","France","FRA",16-APR-62,05-FEB-67,1756,20000,19.1738,-96.1342
"Ecuadorian_Colombian","Ecuador","ECU",22-NOV-63,06-DEC-63,14,1000,0.343266,-77.1538
"Ecuadorian_Colombian","Colombia","COL",22-NOV-63,06-DEC-63,14,1000,0.343266,-77.1538
