WARNAME,STATENAME,ISO3C,STARTDAY,STARTMONTH,STARTYEAR,ENDDAY,ENDMONTH,ENDYEAR,TOTAL_WAR_TIME,TOTAL_BATTLE_DEATHS,LAT,LNG,Start_date
Ecuadorian_Colombian,Ecuador,ECU,22,11,1863,06,12,1863,14,1000,0.343266,-77.1538,22/11/1863
Ecuadorian_Colombian,Colombia,COL,22,11,1863,06,12,1863,14,1000,0.343266,-77.1538,22/11/1863
War of the Pacific,Bolivia,BOL,14,02,1879,11,12,1883,1761,13868,-20.3063,-68.7092,14/02/1879
War of the Pacific,Chile,CHL,14,02,1879,11,12,1883,1761,13868,-20.3063,-68.7092,14/02/1879
First Balkan,Bulgaria,BGR,17,10,1912,03,12,1912,47,82000,41.919138,26.693898,17/10/1912
World War I,Romania,ROU,27,08,1916,09,12,1917,469,8578031,50.8798,4.70052,27/08/1916
World War I,Russia,RUS,01,08,1914,05,12,1917,1222,8578031,50.8798,4.70052,1/08/1914
Manchurian,China,CHN,17,08,1929,03,12,1929,108,3200,45.8038,126.535,17/08/1929
Manchurian,USSR,RUS,17,08,1929,03,12,1929,108,3200,45.8038,126.535,17/08/1929
Lithuanian_Polish,Poland,POL,15,07,1920,01,12,1920,139,1000,54.50719,25.114416,15/07/1920
Lithuanian_Polish,Lithuania,LTU,15,07,1920,01,12,1920,139,1000,54.50719,25.114416,15/07/1920
Third Sino_Japanese,China,CHN,07,07,1937,06,12,1941,1613,1000000,38.972156,117.70421,7/07/1937
Third Sino_Japanese,Japan,JPN,07,07,1937,06,12,1941,1613,1000000,38.972156,117.70421,7/07/1937
Badme Border,Ethiopia,ETH,06,05,1998,12,12,2000,951,120000,14.7256,37.8048,6/05/1998
Badme Border,Eritrea,ERI,06,05,1998,12,12,2000,951,120000,14.7256,37.8048,6/05/1998
Bangladesh,India,IND,03,12,1971,17,12,1971,14,11223,25.224762,88.865899,3/12/1971
Bangladesh,Pakistan,PAK,03,12,1971,17,12,1971,14,11223,25.224762,88.865899,3/12/1971
"Vietnam War, Phase 2",Australia,AUS,07,02,1965,20,12,1972,2873,1021442,17.01,106.82,7/02/1965
Invasion of Afghanistan,United States of America,USA,07,10,2001,22,12,2001,76,4002,34.473231,68.903733,7/10/2001
